review_id,user_id,product_id,rating,review_text
R001,U001,P001,5,Good
R002,U002,P002,4,Average
R003,U003,P003,3,Poor
R004,U004,P004,4,Very Good
R005,U005,P005,5,Excellent
R006,U006,P006,5,Good
R007,U007,P007,4,Average
R008,U008,P008,3,Poor
R009,U009,P009,4,Very Good
R010,U010,P010,5,Excellent
R011,U011,P001,5,Good
R012,U012,P002,4,Average
R013,U013,P003,3,Poor
R014,U014,P004,4,Very Good
R015,U015,P005,5,Excellent
R016,U016,P006,5,Good
R017,U017,P007,4,Average
R018,U018,P008,3,Poor
R019,U019,P009,4,Very Good
R020,U020,P010,5,Excellent
R021,U001,P001,5,Good
R022,U002,P002,4,Average
R023,U003,P003,3,Poor
R024,U004,P004,4,Very Good
R025,U005,P005,5,Excellent
